id,topic,text,difficulty
bb5963c3-5dcb-44fa-9193-4dff756bf63d,"OOP","Java-da konstruktor override edilə bilərmi?",MEDIUM
f5c88150-6e3e-4039-bf66-23ed1ee94657,"OOP","Static metod polymorphism-ə (runtime) tabedirmi?",HARD
fd9ca9b7-1c69-48c7-816f-971b48e13600,"OOP","Marker interface nədir (məs. Serializable)?",MEDIUM
2078cf02-f3f7-4a90-957b-4bf990772a0d,"OOP","Java-da 'protected' access modifier nəyə icazə verir?",MEDIUM
083b2df5-ecf0-4381-947a-494665fdd0aa,"SOLID Prinsipləri","Single Responsibility Principle (SRP) nəyi ifadə edir?",MEDIUM
f8641315-0457-4fdb-8e94-dddae0d43d0e,"SOLID Prinsipləri","Open/Closed Principle nə deməkdir?",MEDIUM
1451ae88-f0f9-4532-8d4a-33bd71df9804,"SOLID Prinsipləri","Liskov Substitution Principle nəyi tələb edir?",HARD
99d5a536-614c-4f26-95c4-153974df3f20,"SOLID Prinsipləri","Interface Segregation Principle nəyi tövsiyə edir?",MEDIUM
846dd111-fb10-41ae-866d-05746d1d8c69,"SOLID Prinsipləri","Dependency Inversion Principle nəyi ifadə edir?",HARD
d97ead7f-106a-4352-aadc-b1d2272bd293,"SOLID Prinsipləri","SOLID prinsiplərinin əsas məqsədi nədir?",EASY
ed482394-2c4b-4778-a892-fc39fe290398,"SOLID Prinsipləri","SOLID-in 'S' hərfi nəyi bildirir?",EASY
bb4c590c-471e-4e5f-af6a-761cb63549c8,"SOLID Prinsipləri","Dependency Injection SOLID-in hansı prinsipi ilə birbaşa bağlıdır?",MEDIUM
d5386923-0a20-468b-bef2-0bd864f3e7dd,"SOLID Prinsipləri","SOLID-in 'O' hərfi hansı prinsipi bildirir?",EASY
9a47bb22-f794-434f-aa1d-05497a9970cf,"SOLID Prinsipləri","Liskov Substitution Principle pozulduqda adətən nə baş verir?",MEDIUM
88679912-740e-4c3b-a2db-5bb4ab564e45,"SOLID Prinsipləri","SOLID-in 'I' hərfi hansı prinsipi bildirir?",EASY
cbd7625d-bd28-4ede-a680-45d698790bf3,"SOLID Prinsipləri","SOLID-in 'L' hərfi hansı prinsipi bildirir?",EASY
f1c5df34-b647-4f4f-a752-41967a41deb2,"SOLID Prinsipləri","SOLID-in 'D' hərfi hansı prinsipi bildirir?",EASY
3866f185-857d-4141-ac06-8211b22fde9f,"SOLID Prinsipləri","Open/Closed Principle-i həyata keçirmək üçün adətən hansı texnikadan istifadə olunur?",MEDIUM
28d8c2e5-ef6e-4947-9956-e6b323f07688,"SOLID Prinsipləri","Single Responsibility Principle pozulduqda ən çox hansı problem yaranır?",MEDIUM
842f7fc1-f87a-453b-b47b-100eb0ae5afd,"SOLID Prinsipləri","Interface Segregation Principle-i pozan koda nümunə hansıdır?",MEDIUM
2c4076a8-156f-4647-a386-1da5cd3ecf88,"SOLID Prinsipləri","Dependency Inversion Principle-i tətbiq etmək üçün Spring-də nədən istifadə olunur?",MEDIUM
bd8b38fa-f2cd-469d-a11b-48969b26dae6,"SOLID Prinsipləri","SOLID prinsipləri hansı proqramlaşdırma paradiqmasına aiddir?",EASY
6b5a5a17-6e9a-4f6a-8a07-dbf00f472405,"SOLID Prinsipləri","Liskov Substitution Principle-i pozan tipik nümunə hansıdır?",HARD
6d2bbc81-f342-4234-a99e-fc0c8abfd89d,"SOLID Prinsipləri","SOLID prinsiplərini kim təklif edib?",EASY
d26cad88-609b-4a0b-8fcc-c4f47f00b56c,"Dizayn Şablonları","Singleton dizayn şablonu nəyi təmin edir?",EASY
87ef7615-1446-4252-b2a7-ba7488b7ef8c,"Dizayn Şablonları","Factory Method şablonunun məqsədi nədir?",MEDIUM
39f61544-9a2b-4c3f-90ab-2e9419242e84,"Dizayn Şablonları","Observer dizayn şablonu nə üçün istifadə olunur?",MEDIUM
023eecc8-d771-4727-97d6-902fee5a909b,"Dizayn Şablonları","Builder dizayn şablonu hansı problemi həll edir?",MEDIUM
08b2d72b-9ae6-44ec-84d7-2b49956c9ceb,"Dizayn Şablonları","Strategy dizayn şablonu nəyi təmin edir?",MEDIUM
1b9984a8-c4ed-4c79-95fc-ea6c4f907b1a,"Dizayn Şablonları","Decorator dizayn şablonu nə edir?",HARD
62384ca2-ed89-424c-9851-de07a5ecffb8,"Dizayn Şablonları","Adapter dizayn şablonu nə üçün istifadə olunur?",MEDIUM
89ed2255-e9d6-4408-b1a9-82cef5353641,"Dizayn Şablonları","Dependency Injection dizayn şablonunun əsas faydası nədir?",MEDIUM
a1062f37-7f84-4886-b529-4134c1fef556,"Dizayn Şablonları","Facade dizayn şablonu nə edir?",MEDIUM
8dd37cab-86b2-4f42-8feb-29c276194655,"Dizayn Şablonları","Command dizayn şablonu nəyi encapsulate edir?",HARD
e978adee-1864-404e-a414-2e7a5c5defad,"Dizayn Şablonları","Dizayn şablonları hansı üç əsas kateqoriyaya bölünür?",MEDIUM
b59b21e2-64e6-4b9a-9ceb-f92038cb7592,"Dizayn Şablonları","Prototype dizayn şablonu nə edir?",MEDIUM
055ea08e-d72a-4d80-bfae-6e0f99b953c1,"Dizayn Şablonları","Proxy dizayn şablonu nə üçün istifadə olunur?",HARD
505ea324-1820-4733-8b18-1a9681182180,"Dizayn Şablonları","Template Method dizayn şablonu nəyi təyin edir?",HARD
f4c50d7b-7598-4a85-a035-d1edb960e2a9,"Dizayn Şablonları","Chain of Responsibility dizayn şablonu nə edir?",HARD
bb035698-97d3-4f8b-99c8-eee31e5e1730,"Dizayn Şablonları","State dizayn şablonu nə üçün istifadə olunur?",HARD
f39f5e47-8bf4-444c-bb18-b1595885ce93,"Dizayn Şablonları","Abstract Factory dizayn şablonu Factory Method-dan nə ilə fərqlənir?",HARD
8c749f3b-7578-4749-bb50-0f54c14f2880,"Dizayn Şablonları","Anti-pattern nə deməkdir?",MEDIUM
fab1d713-8ac1-4bdb-905f-81c5b78bb258,"Dizayn Şablonları","Composite dizayn şablonu nə edir?",HARD
4c698f2e-f7a9-4353-b2a3-c76e2baac26b,"Dizayn Şablonları","Dizayn şablonlarından istifadənin əsas faydası nədir?",EASY
ebb7af7e-4d7e-4878-8f47-7ac917c67ec2,"Object Sinifinin Metodları","Java-da hər sinif hansı sinifin metodlarını irsən alır?",EASY
81d1c542-7c2e-47bd-a219-f3326d360ef0,"Object Sinifinin Metodları","equals() metodunu override edərkən hansı metodu da override etmək tövsiyə olunur?",MEDIUM
25f3e62b-0d86-4b9f-9206-fa20afc57d94,"Object Sinifinin Metodları","hashCode() və equals() kontraktına görə, əgər iki obyekt equals() ilə bərabərdirsə, nə olmalıdır?",MEDIUM
49f56237-a66e-4c60-89e1-f001afa742ad,"Object Sinifinin Metodları","toString() metodunun default implementasiyası nə qaytarır?",EASY
89151d7c-60b6-4f2d-b2a9-372ee3a6003b,"Object Sinifinin Metodları","clone() metodunu istifadə etmək üçün sinif hansı interfeysi implement etməlidir?",MEDIUM
3fdedc82-bc27-40ca-92f4-9e8c49b08989,"Object Sinifinin Metodları","getClass() metodu nə qaytarır?",EASY
447667b0-31f8-4c9e-b1fe-ec76dad3ddc4,"Object Sinifinin Metodları","equals() metodu override edilmədikdə default davranış nədir?",EASY
7ddb8828-e7c4-4cc3-aaee-1e57c41ab426,"Object Sinifinin Metodları","Niyə equals() metodunda 'instanceof' və ya getClass() müqayisəsi istifadə olunur?",MEDIUM
0ff0f1cc-6858-4214-a423-685568562e92,"Object Sinifinin Metodları","finalize() metodu nə üçün nəzərdə tutulmuşdu (indi deprecated)?",HARD
3e428b5c-d7c7-455c-972e-455813e4a61b,"Object Sinifinin Metodları","Records (Java 14+) equals(), hashCode() və toString() metodlarını necə təmin edir?",MEDIUM
5ff9fbcb-2faf-4f42-b948-f5ae2d72fc32,"Object Sinifinin Metodları","Object sinifinin wait(), notify(), notifyAll() metodları nə üçündür?",HARD
8e5e959b-a0bf-43e1-9e0d-464836b02a79,"Object Sinifinin Metodları","İki obyektin '==' ilə bərabər olması nə deməkdir?",EASY
f895c79b-ab54-4f5e-9274-433d6a36b813,"Object Sinifinin Metodları","Comparable interfeysindəki compareTo() metodu nəyi qaytarır?",MEDIUM
8702f8c6-84af-480c-b297-f528253e36b5,"Object Sinifinin Metodları","Immutable sinifdə equals() və hashCode() niyə xüsusilə vacibdir (məs. HashMap açarı kimi istifadə üçün)?",MEDIUM
13390ce9-935c-44f9-943b-2702ae63a3cb,"Object Sinifinin Metodları","Object.equals() metodunun kontraktına aid olmayan xassə hansıdır?",MEDIUM
3a849da7-00cf-43cc-aa59-9cad28825c8c,"Object Sinifinin Metodları","toString() metodunu override etməyin əsas faydası nədir?",EASY
be06fe2d-8bd2-4a72-8067-e49f610bfe5c,"Object Sinifinin Metodları","Bir sinifi HashSet-də düzgün işlətmək üçün nəyi təmin etmək lazımdır?",MEDIUM
40300b07-3e8b-4384-b223-349c158327c3,"Object Sinifinin Metodları","Records-un komponentləri (fields) default olaraq necədir?",MEDIUM
81645c7f-d61d-4f4c-88f5-8dc653fcf654,"Object Sinifinin Metodları","Object sinifinin hashCode() metodunun default implementasiyası nəyə əsaslanır (əksər JVM-lərdə)?",MEDIUM
f082c930-0f8e-49ea-adda-2ad33bf915c1,"Object Sinifinin Metodları","Niyə mutable obyektləri HashMap açarı kimi istifadə etmək təhlükəlidir?",HARD
e868306c-5f13-48e8-9774-7aa0f6fdd695,"Immutability Dizaynı","Immutable obyekt nə deməkdir?",EASY
a58b32c4-2f2f-48f4-8e96-621e80103c0d,"Immutability Dizaynı","Java-da immutable sinif yaratmaq üçün hansı addımlar tələb olunur?",MEDIUM
e2491000-6781-48fd-be4d-e6653c5f4aac,"Immutability Dizaynı","Immutable obyektlərin thread-safety baxımından üstünlüyü nədir?",MEDIUM
87cb324b-ae54-4d4a-8b9e-52ef152635fd,"Immutability Dizaynı","Defensive copy (müdafiə kopyası) nə üçün istifadə olunur?",MEDIUM
73205ab3-97ad-43e5-92e5-8310444a6d4f,"Immutability Dizaynı","Java-da hansı sinif immutable-un klassik nümunəsidir?",EASY
c055b263-4167-4dcf-91d6-3cf486e92ea6,"Immutability Dizaynı","Immutable obyektlərin dezavantajı nə ola bilər?",MEDIUM
518e948e-3b94-4326-874f-e2df8db6c017,"Immutability Dizaynı","Java 16+ Record-lar niyə immutability üçün əlverişlidir?",MEDIUM
2800254b-7f20-463f-b59a-ff616504eb9e,"Immutability Dizaynı","Immutable sinifdə final açar sözünün rolu nədir?",MEDIUM
e6d08311-3ce8-420e-9861-6080f0a1fc87,"Immutability Dizaynı","Builder pattern immutable obyektlərin yaradılmasında necə kömək edir?",MEDIUM
5cf3cb13-cadf-4451-9e63-f044ca3a6efd,"Immutability Dizaynı","Immutable kolleksiya yaratmaq üçün Java-da hansı metoddan istifadə olunur (Java 9+)?",EASY
4ca61b1e-561b-45fd-8246-a5efd1ea0312,"Immutability Dizaynı","Immutable obyektlər niyə HashMap açarı kimi ideal hesab olunur?",MEDIUM
d7a28111-5251-40cb-84d8-ad8cd29e17da,"Immutability Dizaynı","'with' metodları (məs. withName()) immutable dizaynda nə üçün istifadə olunur?",MEDIUM
5c293a6e-24bc-4b3b-be94-41ac789396cf,"Immutability Dizaynı","Immutability funksional proqramlaşdırma ilə necə əlaqəlidir?",MEDIUM
b7b38c82-a849-4fc4-8505-0ba21aa0503d,"Immutability Dizaynı","Enum-lar niyə təbii olaraq immutable-dır?",MEDIUM
61c65aeb-df74-40c5-8c33-a71dad152f31,"Immutability Dizaynı","Immutable sinifdə array sahəsi olduqda hansı risk var?",HARD
30d10107-3341-4fa0-9564-7eaffb016dbd,"Immutability Dizaynı","Immutability caching (keşləmə) üçün niyə faydalıdır?",MEDIUM
ea1faa36-1ac4-49ec-805a-54a60122c7a2,"Immutability Dizaynı","Java-da 'final' massiv (array) elan etmək massivin elementlərini immutable edirmi?",HARD
b4397eed-e126-4a2d-8833-7af2d116aa7f,"Immutability Dizaynı","Value Object (dəyər obyekti) konsepsiyası immutability ilə necə bağlıdır?",MEDIUM
858770ef-4753-426f-bc40-d3ba5eccb36e,"Immutability Dizaynı","Immutable obyektlər arasında paylaşılan referanslar (sharing) niyə təhlükəsizdir?",MEDIUM
364c47ea-f905-4e44-9a60-61344edbaf84,"Immutability Dizaynı","Immutable dizaynın SOLID prinsipləri ilə əlaqəsi nədir?",HARD
7fbca004-7bbb-47bd-8d6a-34d2b27f7d31,"Kolleksiyalar","ArrayList və LinkedList arasındakı əsas fərq nədir?",MEDIUM
9163a4f2-318f-4281-9d9b-4a7bce962135,"Kolleksiyalar","HashMap-də açarların unikallığı necə təmin olunur?",MEDIUM
92d792b9-62f3-4ad9-a2a8-13abca3a4bb9,"Kolleksiyalar","Hansı kolleksiya interfeysi dublikat elementlərə icazə vermir?",EASY
835abfa7-e50c-4e8c-9d02-7816ab708939,"Kolleksiyalar","TreeMap elementləri necə saxlayır?",HARD
85ca412c-ffbd-497c-85d0-99b7982720dc,"Kolleksiyalar","Iterator və ListIterator arasındakı fərq nədir?",MEDIUM
dc61177e-dcac-4232-a2f1-621e1f3421a7,"Kolleksiyalar","ConcurrentModificationException nə vaxt yaranır?",HARD
f6b0f254-a1da-405b-9f19-73f4da08ecab,"Kolleksiyalar","PriorityQueue elementləri necə sıralayır?",MEDIUM
7a63d6b4-fd7d-4152-8592-f0944ca19bf0,"Kolleksiyalar","Collections.unmodifiableList() nə edir?",MEDIUM
ec9890d4-0fe4-4552-b1dd-6f94146d1a22,"Kolleksiyalar","LinkedHashMap HashMap-dən nə ilə fərqlənir?",MEDIUM
fac52381-7460-4643-877d-bad754073e2c,"Kolleksiyalar","Comparable və Comparator interfeysləri arasındakı fərq nədir?",MEDIUM
c70852e6-cda4-4359-af4f-ef3a2d3ed256,"Kolleksiyalar","HashSet-in daxili implementasiyası nəyə əsaslanır?",MEDIUM
4107d93c-0027-4daf-8fe4-31677511ddd6,"Kolleksiyalar","Deque interfeysi nəyi təmsil edir?",MEDIUM
4c73befc-9ec5-4f85-8fbc-561024f831e2,"Kolleksiyalar","Vector və ArrayList arasındakı fərq nədir?",MEDIUM
e1b56987-3110-477b-b7ee-02d6c6ed0436,"Kolleksiyalar","EnumMap nədir?",HARD
859a6cae-6042-47e0-a8b3-ddcc1ff8d076,"Kolleksiyalar","Collections.sort() metodu hansı alqoritmdən istifadə edir (obyektlər üçün)?",HARD
88949631-e057-4d9e-b7e2-29ad90b3338d,"Kolleksiyalar","NavigableMap interfeysi nəyi təmin edir?",HARD
7c765927-1ab5-4da4-aae3-ae4b85841665,"Kolleksiyalar","Kolleksiyada fail-fast iterator nə deməkdir?",HARD
7ccd3ef4-d7ef-4441-ac6c-7f113d490c58,"Kolleksiyalar","Arrays.asList() metodu ilə yaradılan List-in ölçüsü dəyişdirilə bilərmi?",HARD
77a7a37a-257d-44e2-b05d-80a5bf2ebfce,"Kolleksiyalar","Stack sinifi hansı sinifi extend edir Java-da?",MEDIUM
f4b0c511-afec-4faa-b92c-54b596c80393,"Kolleksiyalar","Java-da Map interfeysi Collection interfeysini extend edirmi?",MEDIUM
06991dab-7741-40c2-9fc0-746f32b86b32,"Generics","Generics-in əsas məqsədi nədir?",MEDIUM
8dac1b40-726b-4a61-80da-dcf655fd80f5,"Generics","'List<?>' ifadəsi nəyi bildirir?",MEDIUM
67b0b290-9140-462b-8998-93aa1cea5237,"Generics","'<T extends Number>' bildirişi nəyi ifadə edir?",HARD
bee2b4f1-4c67-4c13-83e4-b0263b30e744,"Generics","Type erasure nədir?",HARD
0680da1a-4600-4326-ab2e-a0da8c8ae9b3,"Generics","Generic metod necə elan olunur?",MEDIUM
e870a510-8c42-4028-9d12-8907cb01a6d0,"Generics","Raw type (məs. List list = new ArrayList()) istifadəsi nə üçün tövsiyə olunmur?",MEDIUM
2035c058-150a-4dac-829b-18a34175049f,"Generics","'? super T' wildcard nəyi ifadə edir?",HARD
1199e4ee-0ff7-4efa-b8f7-de2bc8c1db64,"Generics","Generic sinifdə statik sahə niyə generic tip parametrindən istifadə edə bilməz?",HARD
84630dbe-bfa7-412c-b9f8-5b2c11750205,"Generics","Bounded type parameter nədir?",MEDIUM
2be0c236-b4d0-4b84-b58f-6209ab8ffb0e,"Generics","Generic array yaratmaq (məs. new T[10]) Java-da niyə mümkün deyil?",HARD
cadb4979-b66a-4f84-b0c3-e724531b96c8,"Generics","PECS principle (Producer Extends, Consumer Super) nəyi izah edir?",HARD
53ce289b-edf6-4868-af20-f66362bf81c2,"Generics","Generic sinifdə birdən çox tip parametri necə istifadə olunur?",MEDIUM
e3f2a5cd-cd28-4068-8ffe-78c9b5d9a68a,"Generics","Unbounded wildcard (<?>) nə vaxt istifadə olunur?",MEDIUM
ed2db7c3-d79b-4130-90b1-efaa8b81042b,"Generics","Generic interfeysin implementasiyasında tip parametri necə konkretləşdirilə bilər?",MEDIUM
443b2b75-d464-4cd2-8242-2af4e70d86c3,"Generics","Java-da generics niyə 'reified' deyil (C#-dan fərqli olaraq)?",HARD
2597628c-c787-48d0-acf3-32fddefc93f9,"Generics","Generic metodda tip parametrini çağırış zamanı açıq şəkildə necə göstərmək olar?",HARD
d63a68a6-5140-4819-9895-c53671b79334,"Generics","Bridge metod (bridge method) nədir?",HARD
974fb1b2-6b37-4003-a45b-ee890e87f97d,"Generics","Generics istifadə etməklə hansı runtime xətasının qarşısı compile zamanı alınır?",MEDIUM
fffe646d-3e17-45d0-b719-633769fa9ae2,"Generics","Diamond operator (<>) Java 7+-da nəyə imkan verir?",EASY
3698438e-f4a9-4017-9272-bb6ab490c609,"Generics","Generic sinifin instansiyasında tip parametri üçün primitiv tip (məs. int) istifadə oluna bilərmi?",MEDIUM
e19db565-068b-41f5-a91a-a2b5f4193049,"Verilənlər Strukturları","Massiv (array) və List arasındakı əsas fərq nədir?",EASY
11908518-e104-49be-8b5e-df2d61fc0224,"Verilənlər Strukturları","Stack (yığın) verilənlər strukturu hansı prinsiplə işləyir?",EASY
99978309-d288-4ce0-aa28-b5e11bb88bc2,"Verilənlər Strukturları","Queue (növbə) verilənlər strukturu hansı prinsiplə işləyir?",EASY
771c8eab-02f5-4745-9619-a77d74754655,"Verilənlər Strukturları","Linked List-in Array-dən üstünlüyü nədir?",MEDIUM
91f1b53f-e7ae-45d0-847c-fc92e6b4414e,"Verilənlər Strukturları","Binary Tree-də hər node-un maksimum neçə uşağı ola bilər?",EASY
b609209a-a2bd-4edb-a43b-7e5c405e03e8,"Verilənlər Strukturları","Hash table-də collision (toqquşma) nə vaxt baş verir?",MEDIUM
2a5ed77a-6da2-4352-81d7-6e59f5240cc4,"Verilənlər Strukturları","Graph (qraf) verilənlər strukturunda 'node' və 'edge' nəyi ifadə edir?",EASY
18e49a91-5cfd-4691-bc3e-2ce9aa517557,"Verilənlər Strukturları","Trie (prefix tree) verilənlər strukturu ən çox nə üçün istifadə olunur?",HARD
663f5a64-7dad-4875-b6f6-750d6b8daf09,"Verilənlər Strukturları","Heap verilənlər strukturunun əsas xüsusiyyəti nədir?",MEDIUM
f2fa08d2-e9ea-4089-820d-c25097e58139,"Verilənlər Strukturları","Dynamic Array (məs. ArrayList) tutumu (capacity) dolduqda nə baş verir?",MEDIUM
d2e316c0-8db9-417a-84ca-e22ce2293dbe,"Verilənlər Strukturları","Circular Linked List adi Linked List-dən nə ilə fərqlənir?",MEDIUM
2393bdb5-0a95-43b9-98b7-fd51375e2872,"Verilənlər Strukturları","Doubly Linked List-in üstünlüyü Singly Linked List-ə görə nədir?",MEDIUM
a54446aa-b628-4f72-a988-a6dff639c238,"Verilənlər Strukturları","Balanced Binary Search Tree (məs. AVL, Red-Black) niyə vacibdir?",HARD
944e205a-6765-425f-a6d7-83fff7d5a6a1,"Verilənlər Strukturları","Set verilənlər strukturunun əsas xüsusiyyəti nədir?",EASY
09f531fd-d18d-463d-a164-30e1efc4e500,"Verilənlər Strukturları","Adjacency List qrafın təsviri üçün nə üçün istifadə olunur?",MEDIUM
aea05f2c-6d05-48bf-8783-75be5b0505d6,"Verilənlər Strukturları","Skip List nədir?",HARD
416b4f2c-6d7d-403c-b42c-21b26ec8123b,"Verilənlər Strukturları","LRU Cache (Least Recently Used) implementasiyası üçün adətən hansı iki struktur birləşdirilir?",HARD
3d4bb4ab-729e-477e-bda0-4500d145bcc3,"Verilənlər Strukturları","Priority Queue-nun daxili implementasiyası ən çox hansı struktura əsaslanır?",MEDIUM
c89281ce-5e84-4bca-b5db-00e1e5fc5b8f,"Verilənlər Strukturları","Sparse array nə deməkdir?",MEDIUM
f7cd53ac-5418-43fc-a18b-2afff37bd867,"Verilənlər Strukturları","Tree-də 'leaf node' nəyi ifadə edir?",EASY
43e1ab9e-acf2-433d-b475-877b5b4085f1,"Sıralama Alqoritmləri","Bubble Sort-un orta hal zaman mürəkkəbliyi nədir?",EASY
11b09971-a0d6-40da-9f11-ef36882abc83,"Sıralama Alqoritmləri","Quick Sort-un əsas iş prinsipi nədir?",MEDIUM
e3c7d87d-b2dc-42ed-90c9-b1e08ac65c9b,"Sıralama Alqoritmləri","Merge Sort-un zaman mürəkkəbliyi (bütün hallarda) nədir?",MEDIUM
d859c949-82e8-483f-94a9-2635de2e4a3e,"Sıralama Alqoritmləri","Hansı sıralama alqoritmi 'stable' (sabit) hesab olunur, yəni bərabər elementlərin nisbi sırasını saxlayır?",MEDIUM
1c1042d5-936c-40ab-94b5-b998d896e671,"Sıralama Alqoritmləri","Insertion Sort ən çox nə vaxt effektivdir?",MEDIUM
1a640320-edba-424c-aad5-29b3800b40f3,"Sıralama Alqoritmləri","Quick Sort-un ən pis hal zaman mürəkkəbliyi nə vaxt yaranır?",HARD
afcffbfc-89ad-422c-b6a3-06f3c7c0c2c8,"Sıralama Alqoritmləri","Heap Sort-un zaman mürəkkəbliyi nədir?",MEDIUM
97c5a9a8-6a74-4076-9182-f1a0437264ae,"Sıralama Alqoritmləri","Counting Sort hansı şəraitdə effektivdir?",HARD
782a7cf5-6388-433a-8bfb-95357270b3bb,"Sıralama Alqoritmləri","In-place sıralama alqoritmi nə deməkdir?",MEDIUM
1d09d4b3-4cc3-4df5-978d-3c0a43dc4fb1,"Sıralama Alqoritmləri","Java-nın Arrays.sort() metodu primitiv massivlər üçün hansı alqoritmi istifadə edir?",HARD
7c2528bc-aa1b-4840-b8da-f5223fd204d3,"Sıralama Alqoritmləri","Selection Sort-un iş prinsipi nədir?",EASY
166d251a-e8e1-4065-999c-2759ea0876fa,"Sıralama Alqoritmləri","Sıralama alqoritmlərinin aşağı sərhədi (comparison-based) nədir?",HARD
b42298b5-26e2-4842-bb56-754b7642750e,"Sıralama Alqoritmləri","Radix Sort necə işləyir?",HARD
f4835781-ad0a-4fd7-9ca1-694d02b109cd,"Sıralama Alqoritmləri","Hansı sıralama alqoritmi divide-and-conquer (böl və hökm sür) strategiyasına əsaslanır?",MEDIUM
bf9e5348-0ba9-4704-9e26-67958a111695,"Sıralama Alqoritmləri","Bucket Sort-un əsas ideyası nədir?",HARD
a0c199a2-0c89-4811-86c2-c2f2a5db03c2,"Sıralama Alqoritmləri","Java-nın Collections.sort() və Arrays.sort() (obyektlər üçün) hansı alqoritmi istifadə edir?",HARD
039c6dcf-044f-4a6e-8653-51e0b936c130,"Sıralama Alqoritmləri","Ən pis halda O(n²) mürəkkəbliyə malik olmayan alqoritm hansıdır?",MEDIUM
666ae1d2-d654-4f8a-ac8f-4266fdfc42e5,"Sıralama Alqoritmləri","Sıralama alqoritmi seçərkən nəyə diqqət edilməlidir?",MEDIUM
f80f23b9-97ac-448b-896f-14f3b07d85b6,"Sıralama Alqoritmləri","Shell Sort nəyin təkmilləşdirilmiş versiyasıdır?",HARD
e9116bfa-88f5-4fa0-b0d2-4a2625aa8cbc,"Sıralama Alqoritmləri","Comparator istifadə edərək Java-da kolleksiyanı azalan qaydada necə sıralamaq olar?",MEDIUM
79011b84-203d-42d4-87a3-32aee649f4a9,"Axtarış Alqoritmləri və Ağaclar","Binary Search hansı şərti tələb edir?",EASY
063c2828-e929-47c0-be6b-b9f3a46090b4,"Axtarış Alqoritmləri və Ağaclar","Binary Search-ün zaman mürəkkəbliyi nədir?",EASY
602fffab-19e1-46c9-8e3a-db742321b40c,"Axtarış Alqoritmləri və Ağaclar","Linear Search-ün zaman mürəkkəbliyi nədir?",EASY
4cdafa10-47ba-4e82-b0bc-6eda26d7ab68,"Axtarış Alqoritmləri və Ağaclar","Binary Search Tree (BST)-də sol alt ağacdakı bütün node-lar nəyə görə kiçikdir?",EASY
41f49e33-00b0-46e6-921f-b3b2c80edee3,"Axtarış Alqoritmləri və Ağaclar","Depth-First Search (DFS) qraf/ağac gəzintisi hansı verilənlər strukturundan istifadə edir (adətən)?",MEDIUM
6764afa2-01ab-43b9-a5ae-0597bf52ede4,"Axtarış Alqoritmləri və Ağaclar","Breadth-First Search (BFS) qraf/ağac gəzintisi hansı verilənlər strukturundan istifadə edir?",MEDIUM
bd8a4a06-cbd8-4a09-b0c2-72d44010f5f7,"Axtarış Alqoritmləri və Ağaclar","In-order traversal Binary Search Tree-də nə nəticə verir?",MEDIUM
c4a3d395-ab1a-4a1d-af11-3395017040e6,"Axtarış Alqoritmləri və Ağaclar","AVL Tree nəyi təmin edir?",HARD
e7af4b9e-d878-4a20-94be-9a27a111cfb9,"Axtarış Alqoritmləri və Ağaclar","Red-Black Tree hansı məqsədlə istifadə olunur?",HARD
43c2628d-4c80-44ce-86e9-2c425693c891,"Axtarış Alqoritmləri və Ağaclar","B-Tree verilənlər bazası indekslərində niyə geniş istifadə olunur?",HARD
